#ruleId #ruleDefinition #paymentStatus #action #ruleOwner #actionOwner #ruleActive
1 DELIVER_BOOK PAYMENT_RECEVIED DELIVER_BOOK_WITH_COVER THOMAS NATALIE Y
2 DELIVER_BOOK NO_PAYMENT_RECEVIED ON_HOLD THOMAS NATALIE Y
3 DELIVER_TV PAYMENT_RECEVIED DELIVER_TV_WITH_COMMISSION_DELIVERY_EMP THOMAS NATALIE Y 
4 DELIVER_TV NO_PAYMENT_RECEVIED ON_HOLD THOMAS NATALIE Y
5 A_S S_FGF_G DF_GF_GRFG DSF_DF_G FG_RGL';RE Y
6 A_LL G DCS_DC SDA_KKS ASM_DMS Y
7 A AS D D D Y8 ZX ZX ZX ZX ZX Y8 AZ AZ AZ AZ AZ Y
8 ER ER ER ER ER Y
9 OP OP OP OP OP Y
10 Q Q Q Q Q Y
